# PWV zflux iflux rflux
0.000000000000000000e+00 4.444452247121983898e+19 1.758434045448200397e+19 1.773739925670274560e+18
5.000000000000000000e-01 4.346076498568710554e+19 1.753635848299904205e+19 1.772756814711366400e+18
1.000000000000000000e+00 4.277979471502147584e+19 1.749193360298008986e+19 1.771793203843490816e+18
1.500000000000000000e+00 4.222010113014838067e+19 1.745044968567041638e+19 1.770847219731890688e+18
2.000000000000000000e+00 4.173376478555120435e+19 1.741143249706279322e+19 1.769917308856421376e+18
2.500000000000000000e+00 4.129894114470699008e+19 1.737451212045746176e+19 1.769002171208005120e+18
3.000000000000000000e+00 4.090319070749259366e+19 1.733939616210572698e+19 1.768100708867659520e+18
3.500000000000000000e+00 4.053851272363375002e+19 1.730585048344225382e+19 1.767211985983572992e+18
4.000000000000000000e+00 4.019935400889470976e+19 1.727368522203918541e+19 1.766335197499842304e+18
4.500000000000000000e+00 3.988165436874474291e+19 1.724274455515673395e+19 1.765469644623091968e+18
5.000000000000000000e+00 3.958233043132742861e+19 1.721289913158489498e+19 1.764614715491467008e+18
5.500000000000000000e+00 3.929897163320651776e+19 1.718404042079153562e+19 1.763769869872641280e+18
6.000000000000000000e+00 3.902964944740062003e+19 1.715607645104981197e+19 1.762934626992126720e+18
6.500000000000000000e+00 3.877279167995493581e+19 1.712892856235992474e+19 1.762108555801949184e+18
7.000000000000000000e+00 3.852709635397638554e+19 1.710252890728099021e+19 1.761291267158627328e+18
7.500000000000000000e+00 3.829147080523831706e+19 1.707681850792105779e+19 1.760482407500619520e+18
8.000000000000000000e+00 3.806498744819005850e+19 1.705174573026236211e+19 1.759681653708072448e+18
8.500000000000000000e+00 3.784685091720042086e+19 1.702726507452751258e+19 1.758888708898689792e+18
9.000000000000000000e+00 3.763637318066730598e+19 1.700333620707876045e+19 1.758103298968020480e+18
9.500000000000000000e+00 3.743295437389672448e+19 1.697992317859378381e+19 1.757325169724444416e+18
1.000000000000000000e+01 3.723606781727214797e+19 1.695699378719777792e+19 1.756554084501514496e+18
1.050000000000000000e+01 3.704524815199836570e+19 1.693451905539337216e+19 1.755789822155297280e+18
1.100000000000000000e+01 3.686008183464818278e+19 1.691247279709544858e+19 1.755032175373862144e+18
1.150000000000000000e+01 3.668019944142517043e+19 1.689083125660513690e+19 1.754280949241130496e+18
1.200000000000000000e+01 3.650526937831451443e+19 1.686957280547936461e+19 1.753535960009109760e+18
1.250000000000000000e+01 3.633499269578483712e+19 1.684867768635264000e+19 1.752797034041778176e+18
1.300000000000000000e+01 3.616909878022005146e+19 1.682812779511517594e+19 1.752064006901140736e+18
1.350000000000000000e+01 3.600734174778573619e+19 1.680790649464401101e+19 1.751336722551667456e+18
1.400000000000000000e+01 3.584949740593462477e+19 1.678799845466280141e+19 1.750615032663888640e+18
1.450000000000000000e+01 3.569536067726626816e+19 1.676838951337398682e+19 1.749898796001476864e+18
1.500000000000000000e+01 3.554474340275316736e+19 1.674906655734113485e+19 1.749187877879006464e+18
1.550000000000000000e+01 3.539747245836693504e+19 1.673001741675510784e+19 1.748482149679910144e+18
1.600000000000000000e+01 3.525338813225741107e+19 1.671123077373584794e+19 1.747781488425904128e+18
1.650000000000000000e+01 3.511234271983768781e+19 1.669269608173591552e+19 1.747085776390752000e+18
1.700000000000000000e+01 3.497419930212498637e+19 1.667440349444307354e+19 1.746394900752303616e+18
1.750000000000000000e+01 3.483883067900449178e+19 1.665634380284643942e+19 1.745708753277841152e+18
1.800000000000000000e+01 3.470611843411011584e+19 1.663850837934852506e+19 1.745027230038479872e+18
1.850000000000000000e+01 3.457595211204093952e+19 1.662088912798233600e+19 1.744350231149053696e+18
1.900000000000000000e+01 3.444822849187987456e+19 1.660347843993814016e+19 1.743677660530464768e+18
1.950000000000000000e+01 3.432285094361108890e+19 1.658626915372483379e+19 1.743009425691882752e+18
2.000000000000000000e+01 3.419972885618058445e+19 1.656925451938997658e+19 1.742345437530601728e+18
2.050000000000000000e+01 3.407877712770348646e+19 1.655242816630574490e+19 1.741685610147622144e+18
2.100000000000000000e+01 3.395991570977221837e+19 1.653578407409733222e+19 1.741029860677313280e+18
2.150000000000000000e+01 3.384306919902089216e+19 1.651931654634842931e+19 1.740378109129717760e+18
2.200000000000000000e+01 3.372816647009966080e+19 1.650302018676788019e+19 1.739730278244249856e+18
2.250000000000000000e+01 3.361514034504807219e+19 1.648688987754315776e+19 1.739086293353684736e+18
2.300000000000000000e+01 3.350392729475666739e+19 1.647092075964155290e+19 1.738446082257487360e+18
2.350000000000000000e+01 3.339446716879550874e+19 1.645510821485068902e+19 1.737809575103611904e+18
2.400000000000000000e+01 3.328670295038780211e+19 1.643944784937516851e+19 1.737176704278049536e+18
2.450000000000000000e+01 3.318058053372946432e+19 1.642393547882920346e+19 1.736547404301423616e+18
2.500000000000000000e+01 3.307604852121642189e+19 1.640856711448353178e+19 1.735921611732069376e+18
2.550000000000000000e+01 3.297305803844918886e+19 1.639333895064201011e+19 1.735299265075043328e+18
2.600000000000000000e+01 3.287156256514811494e+19 1.637824735303727718e+19 1.734680304696592640e+18
2.650000000000000000e+01 3.277151778034035917e+19 1.636328884814775091e+19 1.734064672743678208e+18
2.700000000000000000e+01 3.267288142037442150e+19 1.634846011334867354e+19 1.733452313068121600e+18
2.750000000000000000e+01 3.257561314848849920e+19 1.633375796781990093e+19 1.732843171155077120e+18
2.800000000000000000e+01 3.247967443480472371e+19 1.631917936414092493e+19 1.732237194055474688e+18
2.850000000000000000e+01 3.238502844574971494e+19 1.630472138051154125e+19 1.731634330322170112e+18
2.900000000000000000e+01 3.229163994201276416e+19 1.629038121354258637e+19 1.731034529949533696e+18
2.950000000000000000e+01 3.219947518425046221e+19 1.627615617156685619e+19 1.730437744316244224e+18
3.000000000000000000e+01 3.210850184583152845e+19 1.626204366842574438e+19 1.729843926131059456e+18
3.050000000000000000e+01 3.201868893199052390e+19 1.624804121769097011e+19 1.729253029381387008e+18
3.100000000000000000e+01 3.193000670482502861e+19 1.623414642728531968e+19 1.728665009284449536e+18
3.150000000000000000e+01 3.184242661362841600e+19 1.622035699446938829e+19 1.728079822240892160e+18
