# PWV zflux iflux rflux
0.000000000000000000e+00 2.232631614129609114e+21 2.752304530285248643e+21 2.634711569140872643e+21
5.000000000000000000e-01 2.191215439482092257e+21 2.746467762825368437e+21 2.633787518985738125e+21
1.000000000000000000e+00 2.163055288497983717e+21 2.741046752084614971e+21 2.632881649233108664e+21
1.500000000000000000e+00 2.140074180213565817e+21 2.735972499695904752e+21 2.631991992984356258e+21
2.000000000000000000e+00 2.120184631453341450e+21 2.731190980931203629e+21 2.631116942838093316e+21
2.500000000000000000e+00 2.102443559005637837e+21 2.726659432575613796e+21 2.630255173849670746e+21
3.000000000000000000e+00 2.086319420154791330e+21 2.722343639514933625e+21 2.629405584107846500e+21
3.500000000000000000e+00 2.071473874440630305e+21 2.718215935681844740e+21 2.628567248755097076e+21
4.000000000000000000e+00 2.057674239714334867e+21 2.714253719447849665e+21 2.627739384289831158e+21
4.500000000000000000e+00 2.044751686882139308e+21 2.710438342083447620e+21 2.626921320751138603e+21
5.000000000000000000e+00 2.032578787055503671e+21 2.706754268694102671e+21 2.626112479961902744e+21
5.500000000000000000e+00 2.021056393634103427e+21 2.703188439609126158e+21 2.625312358440824209e+21
6.000000000000000000e+00 2.010105478961603019e+21 2.699729780323737141e+21 2.624520513922779841e+21
6.500000000000000000e+00 1.999661798118175015e+21 2.696368822349477708e+21 2.623736554676345635e+21
7.000000000000000000e+00 1.989672260012472795e+21 2.693097407485302014e+21 2.622960130996589036e+21
7.500000000000000000e+00 1.980092377762888417e+21 2.689908455302424953e+21 2.622190928395281367e+21
8.000000000000000000e+00 1.970884427676639035e+21 2.686795778887029621e+21 2.621428662120375386e+21
8.500000000000000000e+00 1.962016088544179651e+21 2.683753937695374049e+21 2.620673072720401400e+21
9.000000000000000000e+00 1.953459415533939327e+21 2.680778119158766240e+21 2.619923922433564213e+21
9.500000000000000000e+00 1.945190052764372697e+21 2.677864042720662127e+21 2.619180992230406488e+21
1.000000000000000000e+01 1.937186619690768400e+21 2.675007881500855108e+21 2.618444079376729899e+21
1.050000000000000000e+01 1.929430226400651248e+21 2.672206197907278791e+21 2.617712995412587053e+21
1.100000000000000000e+01 1.921904086072435409e+21 2.669455890359291216e+21 2.616987564465474503e+21
1.150000000000000000e+01 1.914593201734695256e+21 2.666754148921897910e+21 2.616267621833521496e+21
1.200000000000000000e+01 1.907484110584339759e+21 2.664098418132493271e+21 2.615553012787634504e+21
1.250000000000000000e+01 1.900564673419501109e+21 2.661486365669758337e+21 2.614843591552405078e+21
1.300000000000000000e+01 1.893823899811046490e+21 2.658915855796857209e+21 2.614139220433560404e+21
1.350000000000000000e+01 1.887251801861170659e+21 2.656384926729497477e+21 2.613439769066275865e+21
1.400000000000000000e+01 1.880839271032671437e+21 2.653891771248973185e+21 2.612745113763714695e+21
1.450000000000000000e+01 1.874577973749909029e+21 2.651434720013074301e+21 2.612055136949141242e+21
1.500000000000000000e+01 1.868460262389341749e+21 2.649012227121903829e+21 2.611369726658078048e+21
1.550000000000000000e+01 1.862479098975580848e+21 2.646622857578159276e+21 2.610688776099547578e+21
1.600000000000000000e+01 1.856627989435574387e+21 2.644265276346886783e+21 2.610012183267398124e+21
1.650000000000000000e+01 1.850900926679847797e+21 2.641938238772181729e+21 2.609339850594280014e+21
1.700000000000000000e+01 1.845292341105624875e+21 2.639640582150246892e+21 2.608671684642227618e+21
1.750000000000000000e+01 1.839797057373586588e+21 2.637371218292319977e+21 2.608007595824716448e+21
1.800000000000000000e+01 1.834410256514226061e+21 2.635129126938413629e+21 2.607347498155997921e+21
1.850000000000000000e+01 1.829127442583130735e+21 2.632913349905403609e+21 2.606691309024142426e+21
1.900000000000000000e+01 1.823944413216129155e+21 2.630722985871309013e+21 2.606038948984847860e+21
1.950000000000000000e+01 1.818857233541848629e+21 2.628557185712806429e+21 2.605390341573417370e+21
2.000000000000000000e+01 1.813862212996130669e+21 2.626415148325545181e+21 2.604745413132798132e+21
2.050000000000000000e+01 1.808955884653992215e+21 2.624296116867211723e+21 2.604104092655865561e+21
2.100000000000000000e+01 1.804134986753500250e+21 2.622199375371928863e+21 2.603466311640302486e+21
2.150000000000000000e+01 1.799396446134470967e+21 2.620124245691922907e+21 2.602832003954808193e+21
2.200000000000000000e+01 1.794737363355358200e+21 2.618070084728361320e+21 2.602201105715364889e+21
2.250000000000000000e+01 1.790154999285416198e+21 2.616036281918513742e+21 2.601573555170630959e+21
2.300000000000000000e+01 1.785646762997576106e+21 2.614022256950682583e+21 2.600949292595485344e+21
2.350000000000000000e+01 1.781210200811294425e+21 2.612027457682060870e+21 2.600328260192010502e+21
2.400000000000000000e+01 1.776842986354886574e+21 2.610051358237872095e+21 2.599710401997180502e+21
2.450000000000000000e+01 1.772542911533863666e+21 2.608093457272764105e+21 2.599095663796654965e+21
2.500000000000000000e+01 1.768307878306536489e+21 2.606153276377806143e+21 2.598483993044169261e+21
2.550000000000000000e+01 1.764135891180467257e+21 2.604230358618474545e+21 2.597875338786013970e+21
