snid,sim_z,sim_t0,sim_x0,sim_x1,sim_c,sim_ra,sim_dec,sim_lat,sim_lon,sim_alt,fit_z,fit_t0,fit_x0,fit_x1,fit_c,fit_pwv,err_z,err_t0,err_x0,err_x1,err_c,err_pwv,chisq,ndof,mb,abs_mag,message
41311536,0.8970088362693787,62145.9765625,3.541048272381886e-06,1.1211401224136353,-0.008018679916858673,95.273438,-21.542267,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3224.92 .. 12000]
22106842,1.080509901046753,61100.359375,2.9512316359614488e-06,0.7778268456459045,-0.12003105878829956,168.222656,-13.86195,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3536.87 .. 12000]
56149069,0.8993039727210999,60632.05078125,4.512039140536217e-06,0.94095778465271,-0.10409357398748398,56.425781,-14.477512,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3228.82 .. 12000]
44196365,0.9805797934532166,61401.40234375,3.307855877210386e-06,-0.15162555873394012,-0.11888447403907776,68.027344,-3.583322,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3366.99 .. 12000]
54420626,0.5857269763946533,61884.51953125,5.594528072325668e-06,0.44242942333221436,0.006271603517234325,278.789062,-24.460293,-30.244573,-70.7499537,1024.0,0.5857269763946533,61884.51953125,5.688239568253419e-06,0.32827577060987556,0.02389565714246104,4.0,-99.99,-99.99,5.911150698177827e-08,0.11360578948277522,0.01102794116040879,-99.99,259.526775164546,185,23.618662595682004,-19.06496183509477,FitLightCurves: Minimization exited successfully.
57148619,1.0123196840286255,60603.28515625,3.4989643609151244e-06,0.316693514585495,-0.14546255767345428,359.296875,-13.094776,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3420.94 .. 12000]
10529843,0.5300572514533997,62963.18359375,7.12516778618571e-06,0.4058612585067749,0.020204760134220123,193.359375,-26.777105,-30.244573,-70.7499537,1024.0,0.5300572514533997,62963.18359375,7.230140603145207e-06,0.2954482388898144,0.029824610846555667,4.0,-99.99,-99.99,9.355121014815936e-08,0.11109087803304789,0.0104677000419616,-99.99,109.65143785034121,81,23.358361555615758,-19.06286167735,FitLightCurves: Minimization exited successfully.
51339740,0.7980135083198547,60935.125,2.621501436561986e-06,-1.7240946292877197,-0.09784851223230362,329.765625,-35.136116,-30.244573,-70.7499537,1024.0,0.7980135083198547,60935.125,2.704641179330331e-06,-2.0603778755291406,-0.08127088878179005,4.0,-99.99,-99.99,6.173982147397365e-08,0.30500952784826274,0.016301814793057298,-99.99,233.98020425505933,164,24.42304655227138,-19.081182223288064,FitLightCurves: Minimization exited successfully.
3637022,0.6199184656143188,62761.7109375,4.8740963507065815e-06,0.9780979752540588,0.05519964545965195,335.390625,-22.508005,-30.244573,-70.7499537,1024.0,0.6199184656143188,62761.7109375,4.940359236236434e-06,0.98748731919836,0.0715809927982758,4.0,-99.99,-99.99,6.487278362116783e-08,0.12433607879508848,0.012217935851179189,-99.99,258.7119860972297,188,23.77241617743732,-19.061446643493223,FitLightCurves: Minimization exited successfully.
59086990,0.7586621642112732,60689.00390625,2.975056454319771e-06,-0.14676064252853394,0.0422472208738327,126.738281,-25.282602,-30.244573,-70.7499537,1024.0,0.7586621642112732,60689.00390625,2.8997146688052643e-06,0.2108401335687045,0.05217179105882558,4.0,-99.99,-99.99,5.8543052379299667e-08,0.1923082284994326,0.016383055944897043,-99.99,241.64686426755904,174,24.350732958160222,-19.019196852160842,FitLightCurves: Minimization exited successfully.
6775449,0.8194463849067688,60762.0,2.4544439476273457e-06,0.5760385394096375,-0.08168093860149384,224.296875,-25.778666,-30.244573,-70.7499537,1024.0,0.8194463849067688,60762.0,2.48530887370182e-06,0.6927042122455606,-0.07357411135564504,4.0,-99.99,-99.99,5.638028344167543e-08,0.1682086161698446,0.015469161631624337,-99.99,155.66658779684485,164,24.514728819103446,-19.061762408687926,FitLightCurves: Minimization exited successfully.
