snid,sim_z,sim_t0,sim_x0,sim_x1,sim_c,sim_ra,sim_dec,sim_lat,sim_lon,sim_alt,fit_z,fit_t0,fit_x0,fit_x1,fit_c,fit_pwv,err_z,err_t0,err_x0,err_x1,err_c,err_pwv,chisq,ndof,mb,abs_mag,message
41311536,0.8970088362693787,62145.9765625,3.541048272381886e-06,1.1211401224136353,-0.008018679916858673,95.273438,-21.542267,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3224.92 .. 12000]
22106842,1.080509901046753,61100.359375,2.9512316359614488e-06,0.7778268456459045,-0.12003105878829956,168.222656,-13.86195,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3536.87 .. 12000]
56149069,0.8993039727210999,60632.05078125,4.512039140536217e-06,0.94095778465271,-0.10409357398748398,56.425781,-14.477512,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3228.82 .. 12000]
10529843,0.5300572514533997,62963.18359375,7.12516778618571e-06,0.4058612585067749,0.020204760134220123,193.359375,-26.777105,-30.244573,-70.7499537,1024.0,0.5300572514533997,62963.18359375,7.066848135741868e-06,0.4817120500258434,0.03880265987730822,4.0,-99.99,-99.99,9.430292659018281e-08,0.11743561181610171,0.01045727272761415,-99.99,100.88090083699464,81,23.38331121416493,-19.03803602933818,FitLightCurves: Minimization exited successfully.
30772777,0.3190584182739258,61681.03125,2.3676032106623426e-05,0.18470235168933868,-0.04877563193440437,337.324219,-21.702768,-30.244573,-70.7499537,1024.0,0.3190584182739258,61681.03125,2.368150962274737e-05,0.09905010610351643,-0.037360296234104924,4.0,-99.99,-99.99,1.2166985061123188e-07,0.07537985167450688,0.0049689317965550565,-99.99,170.30818121743732,147,22.068516868204142,-19.047770842633764,FitLightCurves: Minimization exited successfully.
54228986,0.7013247609138489,60869.4140625,3.597920436720251e-06,1.2155437469482422,-0.06997966766357422,6.503906,-29.313198,-30.244573,-70.7499537,1024.0,0.7013247609138489,60869.4140625,3.641801592676794e-06,1.1326805317038362,-0.06890569375823143,4.0,-99.99,-99.99,7.140361414656743e-08,0.15112047695266811,0.012579840518386906,-99.99,191.30599206717218,170,24.099999939058733,-19.061441511579474,FitLightCurves: Minimization exited successfully.
54420626,0.5857269763946533,61884.51953125,5.594528072325668e-06,0.44242942333221436,0.006271603517234325,278.789062,-24.460293,-30.244573,-70.7499537,1024.0,0.5857269763946533,61884.51953125,5.641156884807636e-06,0.5161328446787121,0.017777556002551178,4.0,-99.99,-99.99,5.9147465709309724e-08,0.11618340898029475,0.011155000487543731,-99.99,214.48699065147696,185,23.627538091849452,-19.05623536286717,FitLightCurves: Minimization exited successfully.
36494185,0.39397647976875305,60197.66796875,1.4469144456071682e-05,-1.07285737991333,-0.013652157969772816,31.153847,-63.636005,-30.244573,-70.7499537,1024.0,0.39397647976875305,60197.66796875,1.480125721519246e-05,-1.143963838453644,-0.03802096802898089,4.0,-99.99,-99.99,1.6048487501684867e-07,0.08813369247289864,0.013730161116394883,-99.99,189.26429033231398,179,22.57894272153033,-19.072728533386588,FitLightCurves: Minimization exited successfully.
51339740,0.7980135083198547,60935.125,2.621501436561986e-06,-1.7240946292877197,-0.09784851223230362,329.765625,-35.136116,-30.244573,-70.7499537,1024.0,0.7980135083198547,60935.125,2.6420046359263506e-06,-2.0599397453080743,-0.08858661770964357,4.0,-99.99,-99.99,6.220850920202962e-08,0.3130096968190554,0.016454435612771948,-99.99,185.99552806864287,164,24.448200373463052,-19.056042966284757,FitLightCurves: Minimization exited successfully.
44196365,0.9805797934532166,61401.40234375,3.307855877210386e-06,-0.15162555873394012,-0.11888447403907776,68.027344,-3.583322,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3366.99 .. 12000]
57148619,1.0123196840286255,60603.28515625,3.4989643609151244e-06,0.316693514585495,-0.14546255767345428,359.296875,-13.094776,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,SimulateLightCurves: bandpass 'lsst_hardware_u' [3199 .. 4086] outside spectral range [3420.94 .. 12000]
